Institution,Course Number,Launch Date,Course Title,Instructors,Course Subject,Year,Honor Code Certificates,Participants (Course Content Accessed),Audited (> 50% Course Content Accessed),Certified,% Audited,% Certified,% Certified of > 50% Course Content Accessed,% Played Video,% Posted in Forum,% Grade Higher Than Zero,Total Course Hours (Thousands),Median Hours for Certification,Median Age,% Male,% Female,% Bachelor's Degree or Higher
HarvardX,SW12.5x,04/24/2014,From Global Empire to Global Economy,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",2,1,5256,2649,1686,50.44,32.1,62.21,75.32,28.69,48.95,24.76,9.09,35,64.35,35.65,82.04
MITx,MAS.S69x,05/12/2014,Big Data and Social Physics,Sandy Pentland,"Government, Health, and Social Science",2,1,30456,9494,4055,31.17,13.31,36.14,64.8,4.67,13.31,34.79,2.1,30,80.39,19.61,81.37
MITx,3.091x,05/12/2014,Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",2,1,5854,532,269,9.09,4.6,50.19,72.02,6.01,26.84,55.2,89.94,26,73.88,26.12,55.19
HarvardX,SW12.6x,05/22/2014,The Last Empire,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",2,1,5446,2244,1637,41.24,30.09,63.73,76.75,24.22,49.72,31.69,11.7,35,60.97,39.03,80.56
MITx,8.MREV,05/29/2014,Mechanics Review,David Pritchard,"Science, Technology, Engineering, and Mathematics",2,1,12939,754,502,5.83,3.88,66.58,13.25,6.01,17.97,86.76,80.06,25,84.2,15.8,53.49
HarvardX,USW30x,06/02/2014,Tangible Things,Laurel Ulrich,"Humanities, History, Design, Religion, and Education",2,1,10737,2550,1090,23.78,10.17,42.75,74.69,27.55,34.06,22.82,7.34,34,37.38,62.62,74.88
MITx,2.01x,06/03/2014,Elements of Structures,Simona Socrate,"Science, Technology, Engineering, and Mathematics",2,1,6140,1061,333,17.28,5.42,31.29,70.07,9.54,18.66,62.01,78.56,26,85.77,14.23,64.26
MITx,6.00.1x,06/11/2014,Introduction to Computer Science and Programming,"Eric Grimson, John Guttag",Computer Science,2,1,22148,4460,2307,20.14,10.42,51.7,76.74,10.81,48.86,232.93,49.69,27,81.69,18.31,61.96
MITx,7.QBWx,06/12/2014,Quantitative Biology Workshop,Marry Ellen Wiltrout,"Science, Technology, Engineering, and Mathematics",2,1,5092,1027,392,20.17,7.7,38.17,67.07,12.02,26.1,39.96,36.44,29,64.41,35.59,76.43
MITx,7.00x,06/17/2014,Introduction to Biology: Secret of Life,Eric Lander,"Science, Technology, Engineering, and Mathematics",2,1,15627,2357,940,15.08,6.02,39.71,73.58,14.57,24.62,182.26,70.28,28,57.9,42.1,59.85
MITx,7.00x,06/17/2014,Introduction to Biology: Secret of Life,Eric Lander,"Science, Technology, Engineering, and Mathematics",3,0,10755,895,0,8.32,0,0,60.52,0.01,0,59.23,0,26,58.14,41.86,60.92
HarvardX,GSE2x,07/08/2014,Leaders of Learning,Richard Elmore,"Humanities, History, Design, Religion, and Education",2,1,36805,7752,3942,21.07,10.71,50.85,73.66,20.46,30.58,103.05,12.71,31,54.3,45.7,77.57
MITx,6.002x,08/25/2014,Circuits and Electronics,"Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam","Science, Technology, Engineering, and Mathematics",3,1,19263,1300,482,6.75,2.5,36.38,64.03,4.96,15.98,129.34,95.58,25,88.07,11.93,56.39
MITx,6.00.1x,08/27/2014,Introduction to Computer Science and Programming,Eric Grimson,Computer Science,3,1,21017,4143,2127,19.71,10.12,51.34,76.87,9.7,50.09,206.46,48.26,27,83.23,16.77,65.39
HarvardX,HUM2.1x,09/02/2014,The Ancient Greek Hero in 24 Hours (Hours 1-5): Epic and Lyric,Gregory Nagy,"Humanities, History, Design, Religion, and Education",3,1,7304,1832,775,25.11,10.62,42.25,68.7,4.47,18.79,17.31,8.99,34,49.86,50.14,72.97
HarvardX,VJx,09/03/2014,"Visualizing Japan (1850s-1930s): Westernization, Protest, Modernity",John W. Dower,"Humanities, History, Design, Religion, and Education",3,1,8493,2137,1183,25.18,13.94,55.36,50.77,14.16,38.2,20.45,8.54,31,55.73,44.27,74.67
MITx,3.032x,09/03/2014,Mechanical Behavior of Materials,Lorna J. Gibson,"Science, Technology, Engineering, and Mathematics",3,1,11841,1532,502,12.94,4.24,32.77,62.87,4.9,13.95,81.04,63.12,25,84.01,15.99,65.85
MITx,3.091x,09/03/2014,Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",3,1,5245,367,164,7,3.13,44.69,65.43,9.4,20.29,38.86,93.19,26,75.38,24.62,60.54
HarvardX,SW12.7x,09/04/2014,"Invasions, Rebellions, and the end of Imperial China","Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",3,1,4662,2148,1505,46.1,32.3,61.45,80.08,33.98,52.26,22.93,8.68,38,63.87,36.13,82.25
HarvardX,1368.1x,09/08/2014,"Saving Schools: History, Politics, and Policy of U.S. Education – History and Politics in U.S. Education",Paul Peterson,"Humanities, History, Design, Religion, and Education",3,1,3853,969,391,25.16,10.15,40.35,67.67,16.02,31.5,9.36,10.2,32,44.07,55.93,81.88
HarvardX,AMPOx.1,09/10/2014,Poetry in America: The Poetry of Early New England,Elisa New,"Humanities, History, Design, Religion, and Education",3,1,2820,1306,153,46.41,5.44,11.72,70.15,19.12,22.35,7.68,13.08,32,43.8,56.2,68.15
HarvardX,HUM2.2x,09/14/2014,The Ancient Greek Hero in 24 Hours (Hours 6-11): Signs of the Hero in Epic and Iconography,Gregory Nagy,"Humanities, History, Design, Religion, and Education",3,1,2310,839,510,36.45,22.15,60.79,47.87,5,32.67,6.77,4.8,35,49.28,50.72,69.74
HarvardX,GSE1.1x,09/16/2014,Unlocking the Immunity to Change: A New Approach to Personal Improvement,"Robert Kegan (Bob), Lisa Lahey","Humanities, History, Design, Religion, and Education",3,1,13305,1798,699,13.53,5.26,38.88,65.64,22.34,38.16,51.77,20.99,37,43.21,56.79,80.95
HarvardX,PH555x,09/16/2014,Improving Global Health: Focusing on Quality and Safety,Ashish K. Jha,"Government, Health, and Social Science",3,1,9010,2166,1494,24.07,16.6,68.98,58.71,22.92,39.8,40.6,15.92,31,49.87,50.13,82.7
MITx,8.EFTx,09/16/2014,Effective Field Theory,Iain Stewart,"Science, Technology, Engineering, and Mathematics",3,1,7093,285,12,4.02,0.17,4.21,57.48,1.97,3,16.85,107.09,27,88.83,11.17,72.54
MITx,4.605x,09/23/2014,A Global History of Architecture,Mark Jarzombek,"Humanities, History, Design, Religion, and Education",3,1,7052,1093,543,15.5,7.7,49.68,61.06,7.54,30.01,54.46,51.76,29,48.56,51.44,74.88
HarvardX,AT1x,09/30/2014,AnatomyX: Musculoskeletal Cases,Trudy Van Houten,"Science, Technology, Engineering, and Mathematics",3,1,26086,4637,1583,17.78,6.07,34.14,74.36,2.73,34.46,88.43,15.3,27,50.95,49.05,62.09
MITx,ESD.SCM1x,09/30/2014,Supply Chain and Logistics Fundamentals,Chris Caplice,"Government, Health, and Social Science",3,1,25600,5098,2184,19.91,8.53,42.82,73.89,16.59,19.88,255.4,61.42,30,77.04,22.96,84.04
MITx,24.00x,09/30/2014,"Introduction to Philosophy: God, Knowledge and Consciousness",Caspar Hare,"Humanities, History, Design, Religion, and Education",3,1,20109,3949,488,19.64,2.43,12.36,70.61,14.78,27.84,65.35,33.14,28,66.54,33.46,62.77
MITx,JPAL 101x,10/01/2014,Evaluating Social Programs,Rachel Glennerster,"Government, Health, and Social Science",3,1,5321,1558,565,29.28,10.62,36.26,65.42,10.92,36.68,26.71,22.16,31,48.91,51.09,91.41
MITx,6.832x,10/01/2014,Underactuated Robotics,Russ Tedrake,"Science, Technology, Engineering, and Mathematics",3,1,11074,1599,136,14.44,1.23,8.51,67.84,3.75,8.39,41.65,61.21,25,91.97,8.03,61.38
HarvardX,HUM2.3x,10/08/2014,The Ancient Greek Hero in 24 Hours (Hours 12-15): Cult of Heroes,Gregory Nagy,"Humanities, History, Design, Religion, and Education",3,1,1559,697,417,44.85,26.83,59.54,43.18,2.9,33.72,3.2,1.77,34,50.35,49.65,66.91
MITx,11.132x,10/08/2014,Design and Development of Educational Technology,Eric Klopfer,"Humanities, History, Design, Religion, and Education",3,1,15942,3481,1630,21.84,10.22,35.97,67.16,0.01,10.31,44.73,7.46,33,61.33,38.67,83.01
HarvardX,SW12.8x,10/09/2014,Creating China: The Birth of a Nation,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",3,1,4515,2081,1528,46.13,33.87,62.85,78.36,31.46,51.05,23.92,9.54,37,64.33,35.67,82.68
MITx,6.00.2x,10/21/2014,Introduction to Computational Thinking and Data Science,Eric Grimson,Computer Science,3,1,11690,2231,1259,19.08,10.77,56.34,71.12,7.7,35.32,81,38.46,29,87.33,12.67,74.6
HarvardX,HUM2.4x,10/22/2014,The Ancient Greek Hero in 24 Hours (Hours 16-21): The Hero in Tragedy,Gregory Nagy,"Humanities, History, Design, Religion, and Education",3,1,1615,617,376,38.35,23.37,60.78,40.89,4.6,31.95,3.63,1.42,33,50.28,49.72,68.89
HarvardX,AMPOx.2,10/22/2014,"Poetry in America: Nature and Nation, American Poetry, 1700-1850",Elisa New,"Humanities, History, Design, Religion, and Education",3,1,1911,661,149,34.7,7.82,22.54,67.98,15.12,22.26,6.58,13.19,37,40.62,59.38,75.54
MITx,11.126x,10/22/2014,Introduction to Game Design,Eric Klopfer,"Humanities, History, Design, Religion, and Education",3,1,25569,3210,1480,12.55,5.79,29.88,63.42,0,6.31,50.33,7.51,26,82.01,17.99,57.7
HarvardX,1368.2x,10/27/2014,"Saving Schools: History, Politics, and Policy in U.S. Education – Teacher Policies",Paul Peterson,"Humanities, History, Design, Religion, and Education",3,1,1275,516,304,40.5,23.86,58.72,59.65,21.43,42.23,3.28,5.93,35,47.3,52.7,85.23
HarvardX,SW47.1x,10/30/2014,Entrepreneurship and Healthcare in Emerging Economies,Tarun Khanna,"Government, Health, and Social Science",3,1,10332,969,598,9.39,5.79,61.71,43.82,13.03,18.15,17.21,10.41,28,63.04,36.96,78.58
HarvardX,HUM2.5x,11/12/2014,The Ancient Greek Hero: Plato and Beyond,Gregory Nagy,"Humanities, History, Design, Religion, and Education",3,1,2201,694,367,31.55,16.68,52.74,43.41,3.41,24,2.41,1.52,34,53.43,46.57,71.9
MITx,9.01x,11/18/2014,"Light, Spike, and Sight: The Neuroscience of Vision",Sebastian Seung,"Science, Technology, Engineering, and Mathematics",3,1,7000,1398,505,19.97,7.21,35.48,69.4,8.1,24.7,18.49,9.19,29,66.11,33.89,70.22
HarvardX,SW12.9x,11/20/2014,Communist Liberations,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",3,1,4248,1835,1442,43.24,33.98,65.12,79.76,30.14,50.49,23.03,9.76,37,67.11,32.89,82.98
HarvardX,CS50x,01/01/2015,Introduction to Computer Science,David Malan,Computer Science,3,1,301082,25637,1523,8.51,0.51,5.45,67.8,0,0,275.96,0,25,77.68,22.32,51.95
HarvardX,SW12.10x,01/05/2015,"Greater China Today: The People's Republic, Taiwan, and Hong Kong","Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",3,1,5864,1242,1258,21.19,21.46,64.17,77.05,24.6,41.39,48.23,22.52,35,64.81,35.19,82.54
HarvardX,1368.3x,01/05/2015,"Saving Schools: History, Politics, and Policy of U.S. Education – Accountability and National Standards",Paul Peterson,"Humanities, History, Design, Religion, and Education",3,1,1483,641,400,43.25,26.99,62.25,64.51,12.75,49.73,3.4,4.67,34,46.56,53.44,80.97
HarvardX,AMPOx.3,01/07/2015,Poetry in America: Walt Whitman,Elisa New,"Humanities, History, Design, Religion, and Education",3,1,3879,1045,220,26.98,5.68,21.05,73.53,14.46,16.45,9.2,12.34,33,44.63,55.37,71.38
MITx,6.00.1x,01/07/2015,Introduction to Computer Science and Programming Using Python,"Eric Grimson, John Guttag",Computer Science,3,1,49529,8924,4738,18.02,9.57,53.07,77.76,8.91,49.04,485.67,48.96,27,82.56,17.44,67.27
MITx,15.S23x,01/07/2015,"Transforming Business, Society, and Self",Otto Scharmer,"Government, Health, and Social Science",3,1,21420,4958,2416,23.15,11.28,46.73,57.25,0,20.5,82.24,15.54,38,54.26,45.74,84.87
HarvardX,HLS2x,01/08/2015,ContractsX: From Trust to Promise to Contract,Charles Fried,"Government, Health, and Social Science",3,1,15433,3803,2245,24.65,14.55,59.03,72.64,0.01,34.11,68.16,16.15,30,66.27,33.73,77.3
MITx,8.MECHCx,01/08/2015,Advanced Introductory Classical Mechanics,David E. Pritchard,"Science, Technology, Engineering, and Mathematics",3,1,6980,571,201,8.18,2.88,35.2,57.66,6.63,17.61,76.36,172.7,24,84.56,15.44,48.64
MITx,15.390.1x,01/09/2015,Entrepreneurship 101: Who Is Your Customer?,Bill Aulet,"Government, Health, and Social Science",3,1,30780,7955,2689,25.84,8.74,32.13,75.53,15.29,13.53,110.41,12.23,29,78.22,21.78,72.88
MITx,15.390.2x,01/09/2015,Entrepreneurship 102: What Can You Do For Your Customer?,Bill Aulet,"Government, Health, and Social Science",3,1,13173,3443,574,26.14,4.36,15.16,61.35,4.33,5.79,33.06,11.65,30,77.65,22.35,76.93
MITx,7.QBWx,01/13/2015,Quantitative Biology Workshop,Collaborative,"Science, Technology, Engineering, and Mathematics",3,1,4143,816,257,19.7,6.2,31.5,63.12,8.28,24.81,26.27,37.45,28,65.95,34.05,76.81
MITx,3.086x,01/14/2015,Innovation and Commercialization,Eugene Fitzgerald,"Government, Health, and Social Science",3,1,12208,885,241,7.25,1.97,27.23,62,6.36,31.41,36.51,41.75,29,79.55,20.45,76.75
HarvardX,PH525.1x,01/19/2015,Data Analysis for Genomics: Statistics and R for the Life Sciences,Rafael Irizarry,"Government, Health, and Social Science",3,1,28425,13849,2685,48.73,9.45,19.39,68.01,3.01,27.3,107.06,16.84,30,69.9,30.1,86.74
